날짜,회사명,종목코드,종가,전일비,시가,고가,저가,거래량
2019-01-02,삼성전자,"005930",38750,50,39400,39400,38550,7847664
2019-01-03,삼성전자,"005930",37600,1150,38300,38550,37450,12471493
2019-01-04,삼성전자,"005930",37450,150,37450,37600,36850,14108958
2019-01-07,삼성전자,"005930",38750,1300,38000,38900,37800,12748997
2019-01-08,삼성전자,"005930",38100,650,38000,39200,37950,12756554
2019-01-09,삼성전자,"005930",39600,1500,38650,39600,38300,17452708
2019-01-10,삼성전자,"005930",39800,200,40000,40150,39600,14731699
2019-01-11,삼성전자,"005930",40500,700,40350,40550,39950,11661063
2019-01-14,삼성전자,"005930",40050,450,40450,40700,39850,11984996
2019-01-15,삼성전자,"005930",41100,1050,40050,41100,39850,11492756
2019-01-16,삼성전자,"005930",41450,350,41150,41450,40700,8491595
2019-01-17,삼성전자,"005930",41950,500,41700,42100,41450,11736903
2019-01-18,삼성전자,"005930",42300,350,42000,42400,41950,11029256
2019-01-21,삼성전자,"005930",42750,450,42700,42750,41900,11355701
2019-01-22,삼성전자,"005930",42150,600,42750,42850,41850,9964356
2019-01-23,삼성전자,"005930",42000,150,41350,42250,41350,11071079
2019-01-24,삼성전자,"005930",43050,1050,43050,43100,42350,14747623
2019-01-25,삼성전자,"005930",44750,1700,44300,44750,43750,22789395
2019-01-28,삼성전자,"005930",45050,300,45000,45500,44600,17998914
2019-01-29,삼성전자,"005930",45500,450,45050,45500,44350,16215017
2019-01-30,삼성전자,"005930",46400,900,44800,46400,44800,17505980
2019-01-31,삼성전자,"005930",46150,250,46650,47050,46150,21621145
2019-02-01,삼성전자,"005930",46350,200,46650,46950,46250,13832454
2019-02-07,삼성전자,"005930",46200,150,46800,47100,46200,15872001
2019-02-08,삼성전자,"005930",44800,1400,45700,45700,44650,12689196
2019-02-11,삼성전자,"005930",45000,200,44500,45000,44250,11125044
2019-02-12,삼성전자,"005930",46050,1050,44650,46250,44650,13184367
2019-02-13,삼성전자,"005930",46200,150,46400,46700,46000,11299738
2019-02-14,삼성전자,"005930",47500,1300,46600,47500,46150,17259341
2019-02-15,삼성전자,"005930",46050,1450,46750,46850,45650,10554643
2019-02-18,삼성전자,"005930",46200,150,46500,46850,45850,8183728
2019-02-19,삼성전자,"005930",45950,250,45850,46150,45450,6741395
2019-02-20,삼성전자,"005930",46900,950,46750,47100,46500,11506720
2019-02-21,삼성전자,"005930",46950,50,46500,47200,46200,8694009
2019-02-22,삼성전자,"005930",47150,200,46500,47150,46450,6895772
2019-02-25,삼성전자,"005930",47350,200,47400,47550,47050,7484716
2019-02-26,삼성전자,"005930",46750,600,47350,47450,46500,7985547
2019-02-27,삼성전자,"005930",46750,0,47000,47250,46750,8045211
2019-02-28,삼성전자,"005930",45100,1650,46400,46500,45100,23569321
2019-03-04,삼성전자,"005930",44850,250,46000,46100,44800,12926539
2019-03-05,삼성전자,"005930",44250,600,44600,45100,44150,10612405
2019-03-06,삼성전자,"005930",44000,250,44000,44300,43700,10202544
2019-03-07,삼성전자,"005930",44450,450,43400,44950,43400,11049749
2019-03-08,삼성전자,"005930",43800,650,44450,44800,43800,7729069
2019-03-11,삼성전자,"005930",43650,150,44400,44450,43650,10717408
2019-03-12,삼성전자,"005930",44650,1000,44300,44950,44150,11431977
2019-03-13,삼성전자,"005930",43850,800,44250,44450,43700,8108343
2019-03-14,삼성전자,"005930",43850,0,43700,44300,43550,18039161
2019-03-15,삼성전자,"005930",44200,350,43800,44250,43700,16814163
2019-03-18,삼성전자,"005930",43700,500,43950,44150,43450,8188876
2019-03-19,삼성전자,"005930",43900,200,43750,43900,43550,7609563
2019-03-20,삼성전자,"005930",44050,150,43800,44200,43100,9846242
2019-03-21,삼성전자,"005930",45850,1800,44600,46250,44050,21138016
2019-03-22,삼성전자,"005930",46550,700,46850,47000,46250,12535911
2019-03-25,삼성전자,"005930",45500,1050,45300,45650,44800,8699728
2019-03-26,삼성전자,"005930",45250,250,45500,45700,44900,9729811
2019-03-27,삼성전자,"005930",45350,100,44750,45600,44250,9568081
2019-03-28,삼성전자,"005930",44850,500,44950,45200,44300,6821306
2019-03-29,삼성전자,"005930",44650,200,44500,44900,44200,11491713
2019-04-01,삼성전자,"005930",45050,400,45200,45450,44850,7362129
2019-04-02,삼성전자,"005930",45750,700,45550,46100,45350,9480688
2019-04-03,삼성전자,"005930",46600,850,46750,46750,45800,12436570
2019-04-04,삼성전자,"005930",46950,350,46150,47100,46150,12650168
2019-04-05,삼성전자,"005930",46850,100,46950,47550,46600,8546339
2019-04-08,삼성전자,"005930",46650,200,47250,47250,46150,8507909
2019-04-09,삼성전자,"005930",46650,0,46700,46950,46200,6878761
2019-04-10,삼성전자,"005930",46700,50,46400,46700,46050,11883995
2019-04-11,삼성전자,"005930",46250,450,46700,46800,46150,13697399
2019-04-12,삼성전자,"005930",46850,600,46050,46900,46000,7668936
2019-04-15,삼성전자,"005930",47050,200,47150,47500,47000,8733019
2019-04-16,삼성전자,"005930",47250,200,47400,47400,46800,7730881
2019-04-17,삼성전자,"005930",47050,200,47300,47600,47000,5513658
2019-04-18,삼성전자,"005930",45600,1450,47200,47250,45500,12808747
2019-04-19,삼성전자,"005930",45300,300,45750,46000,45250,8479710
2019-04-22,삼성전자,"005930",45350,50,45400,45900,45100,6006957
2019-04-23,삼성전자,"005930",45200,150,45050,45500,45000,6920566
2019-04-24,삼성전자,"005930",44750,450,45400,45650,44150,13299267
2019-04-25,삼성전자,"005930",44650,100,44250,45000,44100,10868965
2019-04-26,삼성전자,"005930",44850,200,44200,45000,43800,9739982
2019-04-29,삼성전자,"005930",46150,1300,45150,46150,45100,8777517
2019-04-30,삼성전자,"005930",45850,300,46000,46300,45350,11121273
2019-05-02,삼성전자,"005930",45900,50,45500,46150,45400,8625126
2019-05-03,삼성전자,"005930",45300,600,45900,46050,45300,6562916
2019-05-07,삼성전자,"005930",44850,450,45250,45300,44400,12014907
2019-05-08,삼성전자,"005930",44250,600,44300,44850,44200,10398754
2019-05-09,삼성전자,"005930",42450,1800,43900,44250,42450,23029718
2019-05-10,삼성전자,"005930",42900,450,42600,43450,42450,14579512
2019-05-13,삼성전자,"005930",42650,250,42500,43200,42350,7635079
2019-05-14,삼성전자,"005930",42650,0,41300,43100,41300,11563730
2019-05-15,삼성전자,"005930",42550,100,42700,43050,42550,7670185
2019-05-16,삼성전자,"005930",41550,1000,42350,42400,41350,13687828
2019-05-17,삼성전자,"005930",41200,350,41950,42050,40850,13357951
2019-05-20,삼성전자,"005930",42000,800,41650,42100,41550,15752397
2019-05-21,삼성전자,"005930",43150,1150,42600,43950,42350,18812133
2019-05-22,삼성전자,"005930",43500,350,43700,43800,42400,11033339
2019-05-23,삼성전자,"005930",43850,350,43900,44000,43250,12259006
2019-05-24,삼성전자,"005930",42700,1150,43800,43800,42400,13966305
2019-05-27,삼성전자,"005930",42650,50,42500,43000,42350,8066669
2019-05-28,삼성전자,"005930",42550,100,42550,42950,42150,24506881
2019-05-29,삼성전자,"005930",41800,750,41850,42100,41300,14930618
2019-05-30,삼성전자,"005930",42550,750,42200,42700,42150,11766018
2019-05-31,삼성전자,"005930",42500,50,42600,42800,42150,11365999
2019-06-03,삼성전자,"005930",43800,1300,42950,43900,42500,15466580
2019-06-04,삼성전자,"005930",43450,350,43400,43700,43000,9913497
2019-06-05,삼성전자,"005930",43900,450,44050,44200,43700,12464135
2019-06-07,삼성전자,"005930",44200,300,43600,44350,43450,11683682
2019-06-10,삼성전자,"005930",44800,600,44300,44850,44050,8792182
2019-06-11,삼성전자,"005930",44850,50,44800,45000,44550,6664872
2019-06-12,삼성전자,"005930",44600,250,44800,45050,44300,8607439
2019-06-13,삼성전자,"005930",43750,850,44200,44400,43400,16906541
2019-06-14,삼성전자,"005930",44000,250,43750,44150,43300,9322873
2019-06-17,삼성전자,"005930",43900,100,43750,44050,43400,11890424
2019-06-18,삼성전자,"005930",44350,450,43750,44500,43650,7994928
2019-06-19,삼성전자,"005930",45350,1000,45450,45450,45000,10417690
2019-06-20,삼성전자,"005930",45500,150,44850,45500,44850,7147785
2019-06-21,삼성전자,"005930",45700,200,45750,45800,45200,9454913
2019-06-24,삼성전자,"005930",45500,200,45200,45800,45200,6085066
2019-06-25,삼성전자,"005930",45600,100,45200,45800,45200,7076774
2019-06-26,삼성전자,"005930",45700,100,45800,46000,45600,9226097
2019-06-27,삼성전자,"005930",46500,800,46000,46600,45750,12603534
2019-06-28,삼성전자,"005930",47000,500,47000,47000,46700,12949231
2019-07-01,삼성전자,"005930",46600,400,47350,47400,46250,11383522
2019-07-02,삼성전자,"005930",46250,350,46200,46900,45850,8463073
2019-07-03,삼성전자,"005930",45400,850,45750,46350,45200,9669368
2019-07-04,삼성전자,"005930",46000,600,45250,46200,45250,6365573
2019-07-05,삼성전자,"005930",45650,350,45950,45950,45250,7235395
2019-07-08,삼성전자,"005930",44400,1250,44750,44800,44350,7823843
2019-07-09,삼성전자,"005930",45100,700,44850,45450,44700,7646421
2019-07-10,삼성전자,"005930",45550,450,45550,46150,45500,9253930
2019-07-11,삼성전자,"005930",46200,650,46350,46550,46150,10989751
2019-07-12,삼성전자,"005930",46300,100,46350,46400,45800,5245804
2019-07-15,삼성전자,"005930",46450,150,45950,46650,45750,4717226
2019-07-16,삼성전자,"005930",46850,400,46450,46850,46300,7407824
2019-07-17,삼성전자,"005930",46050,800,46150,46350,45950,5216602
2019-07-18,삼성전자,"005930",46100,50,46450,46450,45650,5143554
2019-07-19,삼성전자,"005930",46800,700,46650,46950,46600,8819393
2019-07-22,삼성전자,"005930",47200,400,46800,47300,46600,9009109
2019-07-23,삼성전자,"005930",47300,100,47350,47550,47050,9061381
2019-07-24,삼성전자,"005930",46400,900,47100,47150,46250,8756522
2019-07-25,삼성전자,"005930",47200,800,47150,47200,46600,8408838
2019-07-26,삼성전자,"005930",47150,50,46650,47150,46550,7873886
2019-07-29,삼성전자,"005930",46100,1050,46800,47050,46000,6856846
2019-07-30,삼성전자,"005930",46550,450,46300,46850,46300,5551014
2019-07-31,삼성전자,"005930",45350,1200,46200,46600,45000,12872916
2019-08-01,삼성전자,"005930",45200,150,44900,45500,44850,7811181
2019-08-02,삼성전자,"005930",44950,250,44550,45500,44300,12151374
2019-08-05,삼성전자,"005930",43950,1000,44350,44600,43600,14214086
2019-08-06,삼성전자,"005930",43500,450,42500,43800,42500,15083824
2019-08-07,삼성전자,"005930",43200,300,43600,43900,43100,10002533
2019-08-08,삼성전자,"005930",42650,550,43250,43500,42650,16926881
2019-08-09,삼성전자,"005930",43150,500,43250,43350,43050,9685147
2019-08-12,삼성전자,"005930",43700,550,44000,44000,43550,8466169
2019-08-13,삼성전자,"005930",43000,700,43500,43500,42950,7276979
2019-08-14,삼성전자,"005930",43700,700,43900,44250,43500,8750135
2019-08-16,삼성전자,"005930",43900,200,43800,43900,43300,9528115
2019-08-19,삼성전자,"005930",43600,300,44350,44350,43500,6014218
2019-08-20,삼성전자,"005930",44450,850,43950,44600,43550,8434205
2019-08-21,삼성전자,"005930",44500,50,44350,44800,44150,6571717
2019-08-22,삼성전자,"005930",44050,450,44500,44700,43850,8061177
2019-08-23,삼성전자,"005930",43950,100,43800,44200,43650,5017381
2019-08-26,삼성전자,"005930",43600,350,43050,43800,42950,7954949
2019-08-27,삼성전자,"005930",44050,450,43650,44200,43600,16883932
2019-08-28,삼성전자,"005930",44150,100,44100,44400,43750,5758333
2019-08-29,삼성전자,"005930",43400,750,44200,44200,43050,10768862
2019-08-30,삼성전자,"005930",44000,600,43750,44300,43750,9899073
2019-09-02,삼성전자,"005930",43800,200,44850,44850,43650,7185537
2019-09-03,삼성전자,"005930",43250,550,43550,43650,43100,9774941
2019-09-04,삼성전자,"005930",44100,850,43250,44100,43150,12441837
2019-09-05,삼성전자,"005930",45700,1600,44800,46100,44450,18297430
2019-09-06,삼성전자,"005930",46300,600,46500,46500,45850,9896562
2019-09-09,삼성전자,"005930",46900,600,46450,47000,46300,9434157
2019-09-10,삼성전자,"005930",47000,100,47100,47200,46550,9231792
2019-09-11,삼성전자,"005930",47150,150,47300,47400,46800,16141619
2019-09-16,삼성전자,"005930",47100,50,47000,47100,46400,15550926
2019-09-17,삼성전자,"005930",46900,200,47000,47100,46800,7006280
2019-09-18,삼성전자,"005930",47450,550,46900,47500,46800,3451947
2019-01-02,SK하이닉스,"000660",60600,100,61300,61400,60000,1934295
2019-01-03,SK하이닉스,"000660",57700,2900,60200,60300,57500,3337621
2019-01-04,SK하이닉스,"000660",58300,600,57500,58500,56700,3388087
2019-01-07,SK하이닉스,"000660",58700,400,59000,59700,58400,2273750
2019-01-08,SK하이닉스,"000660",59200,500,57900,60500,57600,3062192
2019-01-09,SK하이닉스,"000660",63600,4400,59600,63800,59400,4928656
2019-01-10,SK하이닉스,"000660",65300,1700,64100,65600,64000,6034432
2019-01-11,SK하이닉스,"000660",65100,200,65400,65900,64200,2890639
2019-01-14,SK하이닉스,"000660",62100,3000,64300,65100,62000,3282892
2019-01-15,SK하이닉스,"000660",64000,1900,62200,64000,62200,2413868
2019-01-16,SK하이닉스,"000660",64800,800,63800,64900,62700,2478497
2019-01-17,SK하이닉스,"000660",64900,100,65500,66200,64600,2830122
2019-01-18,SK하이닉스,"000660",64600,300,65000,65700,63900,2263599
2019-01-21,SK하이닉스,"000660",67000,2400,65900,67400,65000,3977425
2019-01-22,SK하이닉스,"000660",66600,400,67900,68000,65700,4047917
2019-01-23,SK하이닉스,"000660",66800,200,65500,67200,64800,2825017
2019-01-24,SK하이닉스,"000660",70500,3700,66900,70500,66900,6914092
2019-01-25,SK하이닉스,"000660",74600,4100,71600,74800,71100,7163871
